character_id,anime_id,name,name_kanji,nicknames,url,image_url,favorites,about,role,voice_actor_name,voice_actor_lang,voice_actor_image_url
28690,115,"Jinnai, Nanami",陣内 菜々美,,https://myanimelist.net/character/28690/Nanami_Jinnai,https://cdn.myanimelist.net/images/characters/2/146465.jpg?s=c043b2ceb7ddc171dcd7035afe819f50,3.0,"Jinnai's younger sister by about a year. 

Nanami is highly independent and strongly entrepreneurial, going so far as to take payment from the high school's Broadcast Club to grill her brother over the fraudulent election results on campus television. When she's sent to El-Hazard, she's initially alone and is forced to take on a waitressing job to earn enough money to travel, but she eventually meets up with Makoto and Fujisawa at the Fountain of Arliman, where she is able to start a small business selling boxed lunches to the visiting priestesses. Nanami has feelings for Makoto, but she's never really had the opportunity to talk about a relationship with him. 

Nanami's power gained upon entering El-Hazard is to see through the illusions of the Phantom Tribe, making her a viable defense against the greatest threat in the first OVA series. 

Nanami in The Wanderers 

The Phantom Tribe does not exist in the alternate timeline, and so instead Nanami has the same power to communicate with the Bugrom as her brother. Her past relationship with Makoto is also explored a bit more in detail, and she becomes good friends with Princess Rune Venus. As well, in the last episode of the TV series, Alielle describes Nanami and herself as ""special friends"", lending their relationship a certain homoerotic subtext, though this seems to be more along the lines of a big sister relationship. 

(Source: Wikipedia)",Main,"Natsuki, Rio, Sargent, Lia, Wu, Jeong Sin","Japanese, English, Korean","https://cdn.myanimelist.net/images/voiceactors/2/59336.jpg?s=41209862a68157fecc889a0bc8d407d3, https://cdn.myanimelist.net/images/voiceactors/1/41017.jpg?s=f7f0588eb61d55d95eebab49ab1aca4f, https://cdn.myanimelist.net/images/voiceactors/3/15321.jpg?s=483a29aba02e34c3505801458d19124c"
8667,115,"Jinnai, Katsuhiko",陣内 克彦,,https://myanimelist.net/character/8667/Katsuhiko_Jinnai,https://cdn.myanimelist.net/images/characters/10/127875.jpg?s=47934332f3d6108acfb2e3fff25c6014,44.0,"Katsuhiko Jinnai (陣内 克彦 Jinnai Katsuhiko), manages to win the Student Body Presidential election by promising student government funds to campus clubs and organizations that voted for him.

When Makoto catches wind of this and plans are made for him to testify against Jinnai (who is called ""Jinnai"" by everyone except his sister), the egocentric, power-hungry and soon-to-be-impeached Student Body President attempts to thwart the process by attacking Makoto, intending to keep him tied up until a technicality in the bylaws prevents him from being thrown out of office. Before he can execute his plan, however, he's sent to El-Hazard, and once there encounters the Bugrom, a race of human-sized insectoid beings ruled by Queen Diva.

Jinnai's power granted to him by the trip is the ability to communicate with the Bugrom, allowing him to become their military commander under their belief that he is the messenger from God sent to lead the Bugrom to victory. A skilled tactician, he is able to reorganize the Bugrom forces into an effective army and comes close to conquering El-Hazard.

Although Jinnai is a power-hungry egomaniac, he's not without some level of humanity. When Galus attempts to stop Makoto and the others from halting the Eye of God's apocalyptic malfunction, he takes the leader of the Phantom Tribe by surprise with the help of a Bugrom soldier. Although Jinnai effectively comes to Makoto and Nanami's rescue, he does so more for the fact that a ""true ruler doesn't destroy the land he wishes to conquer."" Jinnai has a very distinctive laugh.

Jinni suffers from an obsession with Makoto that borders of the psychotic. Over the course of both series, he consistently blames Makoto for essentially every single failure and disappointment he experiences. His sense of his own history is a montage of misfortune, the chief architect of which is Makoto. Though generally megalomaniacal, one of his primary motivations in gaining power is to subsequently gain the ability to best, or, even kill him.

Jinnai in The Wanderers

Jinnai does not change much in the transition from OVA to TV series, either, but he seems to treat Ifurita with more care. Although he's threatened with impeachment from his position as Student Body President at the beginning of the series and Makoto plays no direct role in the trial, he is paranoid that Makoto will replace him as president once he is kicked out of office.

Additionally, Jinnai reveals a softer side at the end of the series, showing a certain fatherly affection towards Ifurita after she stops the Eye of God from plowing into Roshtaria.   ~From Wikipedia",Main,"Okiayu, Ryoutarou, Klein, Robert Martin, Guitard, Thomas","Japanese, English, French","https://cdn.myanimelist.net/images/voiceactors/3/80436.jpg?s=db6e64580a47c97e72876df5c4912f4d, https://cdn.myanimelist.net/images/voiceactors/3/40233.jpg?s=fa623bbfa3bd492b995e443cfe0ab312, https://cdn.myanimelist.net/images/voiceactors/1/67977.jpg?s=2d45fa31bc9ab36fdb9a37b44ca053bd"
6501,115,"Mizuhara, Makoto",,,https://myanimelist.net/character/6501/Makoto_Mizuhara,https://cdn.myanimelist.net/images/characters/3/456122.jpg?s=f674912e8da18da3f9fde026d8d7f047,11.0,"Seventeen-year-old Mizuhara Makoto is scientifically gifted. In the series, he creates a machine in the science lab to be on display at the start of the school's cultural festival, but when his rival Jinnai sabotages it, it creates a portal to a alternative world called El Hazard, where he'll lots of incredible adventures... and new lovers.",Main,"Iwanaga, Tetsuya, Frierson, Eddie, Caillebot, Rémi","Japanese, English, French","https://cdn.myanimelist.net/images/voiceactors/1/19085.jpg?s=df75e4abe862d04d0616cc719fd35ec0, https://cdn.myanimelist.net/images/voiceactors/1/43421.jpg?s=d9f291fa9f2aec38175ac25b7d2cb4c5, https://cdn.myanimelist.net/images/voiceactors/3/71272.jpg?s=bfcbad2c41bb486e675a6b2de4f16b48"
6505,115,"Shayla, Shayla",シェーラ・シェーラ,,https://myanimelist.net/character/6505/Shayla_Shayla,https://cdn.myanimelist.net/images/characters/13/103677.jpg?s=8c3a57ae099f3516339b42e615784d64,24.0,"At age nineteen, Shayla-Shayla (シェーラ・シェーラ Shēra Shēra; spelled ""Shaellah-shaellah"" in the Etranger Tour Guide) is (initially) the youngest of the three priestesses. Holding true to the classic anime redhead stereotype, this tanned priestess' temper is as fiery as her hair, matching her control over the element of fire. Makoto, Fujisawa and Alielle first meet her when she rescues them from a Bugrom attack on Mt. Muldoon, but she runs off with Afura without hearing them out about their mission. When she first learns Makoto's true identity, she accuses him of being a pervert and tries to roast him, but after he saves her life when Ifurita awakens, she begins to have feelings for him. She also has a friendly rivalry with the wind priestess Afura Mann.

Shayla-Shayla in The Wanderers

Rather than be centralized in one location, the three priestesses each run a separate temple. Fittingly enough, Shayla's fire temple is located in a volcano. She is just as temper-driven as her OVA persona, but with the addition of being a heavy gambler. When Makoto and Fujisawa first meet her, she had lost her clothes and the entire temple to Jinnai in a rigged game.

(Source: Wikipedia)",Main,"De Bortoli, Barbara, Woods, Mimi, Sakurai, Tomo, Lee, Ji Yeong","Italian, English, Japanese, Korean","https://cdn.myanimelist.net/images/voiceactors/3/810.jpg?s=47f7aa653249affdf1456ab4304b0dd7, https://cdn.myanimelist.net/images/voiceactors/3/77305.jpg?s=5ccea1b9cc8184a90ad4a643cea35b98, https://cdn.myanimelist.net/images/voiceactors/2/70337.jpg?s=b9de7dbb97dec04ab4986058d3df0df2, https://cdn.myanimelist.net/images/voiceactors/2/15825.jpg?s=a785131ff9a3f1ece804cc2fd03bf935"
28689,115,"Towles, Qawoor",,,https://myanimelist.net/character/28689/Qawoor_Towles,https://cdn.myanimelist.net/images/characters/8/190170.jpg?s=d15bd962f4c111cd68e307017057dee0,2.0,"A young 17 year-old priestess and the youngest priestess of Mount Muldoon ever. She was the top student of her class and took the place of Miz Mishtal after the former priestess of water married Fujisawa. Qawool’s servant is Alielle’s twin brother, Palnus. Qawool is also very afraid of insects, which causes her to destroy whatever is around her. Like Alielle, Qawool addresses Makoto Mizuhara as master, because he saved her life. She is also in love with him.

As a minor note, when The Alternative World was released in North America through Pioneer Animation (or Geneon, as it is now called), her name was written as ""Qawool"" and ""Qawoor"" on the packaging (the spelling used depended on the volume.) Ostensibly, this was done to make her name sound more native to El-Hazard, since ""Qawool"" can be hard for English speakers to distinguish from ""Kaoru,"" a very common name in Japan. It may also be an attempt to represent the ""ku-sub-a"" phoneme that begins her name.

Qawool was introduced in The Alternative World and does not appear in The Wanderers.

(Source: Wikipedia)",Main,"Sakamoto, Maaya, Brown, Emilie, Carlisi, Christina, Le Bihan, Audrey","Japanese, English, English, French","https://cdn.myanimelist.net/images/voiceactors/2/65911.jpg?s=89b1a1f79adefbc956e4b6d38a49bc63, https://cdn.myanimelist.net/images/voiceactors/2/40609.jpg?s=bbad43f4ca40b6d03cdf3414d2b17cb6, https://cdn.myanimelist.net/images/voiceactors/3/42709.jpg?s=4bd9377c09241421c92918d597f32b8f, https://cdn.myanimelist.net/images/voiceactors/1/69434.jpg?s=3c947b2ecb3a08cf3df154b9cfdd84e6"
240535,115,Arjah,,,https://myanimelist.net/character/240535/Arjah,https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c,0.0,,Supporting,"Aono, Takeshi, Stone, Doug","Japanese, English","https://cdn.myanimelist.net/images/voiceactors/1/29909.jpg?s=cdc6e59c8ef14529ee41559b6b5e5d4d, https://cdn.myanimelist.net/images/voiceactors/1/41943.jpg?s=b4c9b04bc9c50bc1dd384ebc28b6595b"
240538,115,Chabil,,,https://myanimelist.net/character/240538/Chabil,https://cdn.myanimelist.net/images/characters/14/534143.jpg?s=5aa1bff102543c68f1fdc195c8f22479,0.0,,Supporting,"Price, Jamieson, Yasui, Kunihiko","English, Japanese","https://cdn.myanimelist.net/images/voiceactors/1/38697.jpg?s=f65a8e851d1d61107407514b9df94e61, https://cdn.myanimelist.net/images/voiceactors/1/11616.jpg?s=84d898e70fdafbe019fe2f18ac34cbc3"
28705,115,Diva,ディーバ,,https://myanimelist.net/character/28705/Diva,https://cdn.myanimelist.net/images/characters/13/73893.jpg?s=8766cf93d5e279da12b6006579b34544,1.0,"The ruler of the Bugrom. With the exception of a few features, she has the external appearance of a beautiful woman and is the only fully humanoid member of the tribe, though this may possibly be an illusion, as with the case of the ruler of the Insects in the Alternate World of Creteria. When Katsuhiko arrives in El-Hazard and is brought before her by some of her soldiers, she becomes convinced that he is actually a messenger sent by God destined to lead the Bugrom to victory over their enemies in the Alliance. Impressed by Katsuhiko's ability to mobilize the troops and conquer nations with ease, she also becomes romantically interested in him. When the Bugrom homeland is annihilated by the Eye of God, she manages to avoid the attack with Jinnai's personal squad by traveling to deliver supplies to Katsuhiko on the frontline.

At the start of the Alternate World series, she is urged by Jinnai to produce eggs for the new colony they are constructing, due to the Bugrom having been decimated by the Eye of God- even though more survivors have found their way to the new colony, their numbers are still insufficient. However, much to Jinnai's horror, she needs to have a mate in order to give birth to a new generation, and Jinnai is the only male available at the time (at least, that is what she claims). Jinnai's attempt to escape her is why he and his squad are transported to Cretari. Once they return, however, Jinnai is dragged into Diva's amorous embrace.

Diva in The Wanderers

Diva is very much a background character in the OVA, and she doesn't have much more to do in The Wanderers, either. However, the relationship between her, Jinnai and the bubble-headed Ifurita does take on a rather comedic family dynamic. Also, The Wanderers is the only El-Hazard series in which Diva encounters a human character without a special power to understand the Bugrom language.

(Source: Wikipedia)",Supporting,"McGlynn, Mary Elizabeth, Soumi, Youko, Han, Chae Eon","English, Japanese, Korean","https://cdn.myanimelist.net/images/voiceactors/1/14801.jpg?s=54e29d4af9ecc31e2d413248d2a65cb3, https://cdn.myanimelist.net/images/voiceactors/2/36427.jpg?s=b240537d7c6f3557c134f2aa88d9e54f, https://cdn.myanimelist.net/images/voiceactors/2/16451.jpg?s=8cb2c88e0aa7b76e7fa13ac857fd6fdd"
240213,115,Dr. Shtalubaugh,,,https://myanimelist.net/character/240213/Dr_Shtalubaugh,https://cdn.myanimelist.net/images/characters/3/533653.jpg?s=5a9fb828e13de38953e85add14368179,0.0,,Supporting,"Ooki, Tamio, Knight, William Frederick","Japanese, English","https://cdn.myanimelist.net/images/voiceactors/3/59494.jpg?s=be4ec2dde660334f525db2f951fbc67f, https://cdn.myanimelist.net/images/voiceactors/2/40297.jpg?s=8cf0639bbaec31dec673a3c834d112b9"
7377,115,"Fujisawa, Masamichi",藤沢真理,,https://myanimelist.net/character/7377/Masamichi_Fujisawa,https://cdn.myanimelist.net/images/characters/3/113085.jpg?s=9bcaf795c7627155fb1a0327a7aff7bb,21.0,"Current Age: 32
Birthdate: 1964
Height: 178 cm

Masamichi Fujisawa is a history teacher at Shinonome High. Not known for his hygiene or concern for fashion, Fujisawa is a lanky man with a mop of scraggly dark hair atop his head and his face is peppered with the occasional stubble. Clothing wise, he tends to opt for comfort over style and thus is more likely to be seen wearing a warm-up suit over an Armani and sandals instead of Bruno Magli. 

However, while his dedication to his appearance may come into question, his devotion to his students and teaching cannot. He is definitely filled with school spirit and his dedication to his students can only be rivaled by his love for three things: 1. Smoking 2. Drinking 3. Mountain Climbing. 

(Source: El-Hazard Online)",Supporting,"Ishii, Kouji, Sorich, Michael, Da Silva, Damien","Japanese, English, French","https://cdn.myanimelist.net/images/voiceactors/3/57334.jpg?s=a9227d1a8571a4f8b1170b1c923d71fb, https://cdn.myanimelist.net/images/voiceactors/1/40992.jpg?s=0a0ef074ca76e3bdd33364740b38523c, https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c"
